NumThreads,Estrategia,Tiempo
3,Critical,0.058577
3,Ordered,0.008830
3,Reduction,0.001883
3,Critical,0.058529
3,Ordered,0.009233
3,Reduction,0.001887
3,Critical,0.058150
3,Ordered,0.008578
3,Reduction,0.001832
3,Critical,0.057580
3,Ordered,0.008624
3,Reduction,0.001941
3,Critical,0.058267
3,Ordered,0.008495
3,Reduction,0.001957
3,Critical,0.058385
3,Ordered,0.008596
3,Reduction,0.001831
3,Critical,0.059158
3,Ordered,0.008759
3,Reduction,0.002213
3,Critical,0.058913
3,Ordered,0.008798
3,Reduction,0.001969
3,Critical,0.058446
3,Ordered,0.008848
3,Reduction,0.001882
3,Critical,0.059011
3,Ordered,0.008871
3,Reduction,0.001889
3,Critical,0.058384
3,Ordered,0.008726
3,Reduction,0.001887
3,Critical,0.058970
3,Ordered,0.008662
3,Reduction,0.001875
3,Critical,0.058573
3,Ordered,0.008689
3,Reduction,0.002071
3,Critical,0.058784
3,Ordered,0.008731
3,Reduction,0.001880
3,Critical,0.058592
3,Ordered,0.008663
3,Reduction,0.001881
3,Critical,0.058545
3,Ordered,0.008673
3,Reduction,0.001880
3,Critical,0.058766
3,Ordered,0.008670
3,Reduction,0.001901
3,Critical,0.058477
3,Ordered,0.008669
3,Reduction,0.001884
3,Critical,0.058952
3,Ordered,0.008662
3,Reduction,0.001919
3,Critical,0.059303
3,Ordered,0.008844
3,Reduction,0.001885
3,Critical,0.059302
3,Ordered,0.008844
3,Reduction,0.001884
3,Critical,0.059335
3,Ordered,0.008700
3,Reduction,0.001876
3,Critical,0.058732
3,Ordered,0.008664
3,Reduction,0.001880
3,Critical,0.059165
3,Ordered,0.008666
3,Reduction,0.001894
3,Critical,0.059299
3,Ordered,0.008690
3,Reduction,0.001888
3,Critical,0.058796
3,Ordered,0.008804
3,Reduction,0.001885
3,Critical,0.059518
3,Ordered,0.010502
3,Reduction,0.002271
3,Critical,0.058860
3,Ordered,0.008691
3,Reduction,0.001880
3,Critical,0.059194
3,Ordered,0.008605
3,Reduction,0.002382
3,Critical,0.058915
3,Ordered,0.008841
3,Reduction,0.002488
3,Critical,0.058602
3,Ordered,0.008658
3,Reduction,0.001880
3,Critical,0.058914
3,Ordered,0.008870
3,Reduction,0.001885
3,Critical,0.058716
3,Ordered,0.008701
3,Reduction,0.001878
3,Critical,0.058924
3,Ordered,0.008662
3,Reduction,0.001883
3,Critical,0.058828
3,Ordered,0.008657
3,Reduction,0.001911
3,Critical,0.059661
3,Ordered,0.008669
3,Reduction,0.001970
3,Critical,0.058714
3,Ordered,0.008736
3,Reduction,0.001882
3,Critical,0.058772
3,Ordered,0.008674
3,Reduction,0.001882
3,Critical,0.058915
3,Ordered,0.008677
3,Reduction,0.001977
3,Critical,0.058478
3,Ordered,0.008707
3,Reduction,0.001835
3,Critical,0.058554
3,Ordered,0.008792
3,Reduction,0.001850
3,Critical,0.058105
3,Ordered,0.008705
3,Reduction,0.001883
3,Critical,0.058290
3,Ordered,0.008672
3,Reduction,0.001885
3,Critical,0.059018
3,Ordered,0.009034
3,Reduction,0.001887
3,Critical,0.059204
3,Ordered,0.008668
3,Reduction,0.001876
3,Critical,0.058749
3,Ordered,0.008660
3,Reduction,0.001881
3,Critical,0.058719
3,Ordered,0.008670
3,Reduction,0.002442
3,Critical,0.059036
3,Ordered,0.008896
3,Reduction,0.001889
3,Critical,0.058957
3,Ordered,0.008679
3,Reduction,0.001878
3,Critical,0.059237
3,Ordered,0.008667
3,Reduction,0.001933
3,Critical,0.059026
3,Ordered,0.008687
3,Reduction,0.001883
3,Critical,0.058827
3,Ordered,0.008672
3,Reduction,0.001943
3,Critical,0.058894
3,Ordered,0.008664
3,Reduction,0.002863
3,Critical,0.058573
3,Ordered,0.008674
3,Reduction,0.001883
3,Critical,0.058959
3,Ordered,0.008680
3,Reduction,0.001882
3,Critical,0.059196
3,Ordered,0.008703
3,Reduction,0.001880
3,Critical,0.059150
3,Ordered,0.008685
3,Reduction,0.001879
3,Critical,0.059772
3,Ordered,0.008663
3,Reduction,0.001907
3,Critical,0.058552
3,Ordered,0.008683
3,Reduction,0.001887
3,Critical,0.058793
3,Ordered,0.008837
3,Reduction,0.001881
3,Critical,0.058468
3,Ordered,0.008977
3,Reduction,0.001857
3,Critical,0.058609
3,Ordered,0.008636
3,Reduction,0.001891
3,Critical,0.058653
3,Ordered,0.008672
3,Reduction,0.001881
3,Critical,0.059155
3,Ordered,0.008702
3,Reduction,0.002071
3,Critical,0.059112
3,Ordered,0.008683
3,Reduction,0.001881
3,Critical,0.058568
3,Ordered,0.008664
3,Reduction,0.001910
3,Critical,0.058782
3,Ordered,0.009068
3,Reduction,0.001885
3,Critical,0.058249
3,Ordered,0.008664
3,Reduction,0.001876
3,Critical,0.058719
3,Ordered,0.008677
3,Reduction,0.001882
3,Critical,0.058724
3,Ordered,0.008644
3,Reduction,0.002139
3,Critical,0.058055
3,Ordered,0.008623
3,Reduction,0.001834
3,Critical,0.058239
3,Ordered,0.008694
3,Reduction,0.001832
3,Critical,0.058374
3,Ordered,0.008762
3,Reduction,0.001873
3,Critical,0.058783
3,Ordered,0.008727
3,Reduction,0.001877
3,Critical,0.058714
3,Ordered,0.008674
3,Reduction,0.001878
3,Critical,0.058650
3,Ordered,0.008699
3,Reduction,0.001882
3,Critical,0.058554
3,Ordered,0.008661
3,Reduction,0.001907
3,Critical,0.058901
3,Ordered,0.008976
3,Reduction,0.001887
3,Critical,0.058756
3,Ordered,0.008678
3,Reduction,0.001882
3,Critical,0.058896
3,Ordered,0.008760
3,Reduction,0.001924
3,Critical,0.058636
3,Ordered,0.008663
3,Reduction,0.001877
3,Critical,0.058959
3,Ordered,0.008667
3,Reduction,0.001880
3,Critical,0.058343
3,Ordered,0.008605
3,Reduction,0.002135
3,Critical,0.057968
3,Ordered,0.008724
3,Reduction,0.001835
3,Critical,0.058318
3,Ordered,0.008871
3,Reduction,0.001836
3,Critical,0.059133
3,Ordered,0.008675
3,Reduction,0.001878
3,Critical,0.058134
3,Ordered,0.008720
3,Reduction,0.001896
3,Critical,0.058639
3,Ordered,0.008705
4,Reduction,0.001511
4,Critical,0.065511
4,Ordered,0.009196
4,Reduction,0.001415
4,Critical,0.064970
4,Ordered,0.008686
4,Reduction,0.001373
4,Critical,0.065492
4,Ordered,0.008942
4,Reduction,0.001456
4,Critical,0.065262
4,Ordered,0.008660
4,Reduction,0.001407
4,Critical,0.065289
4,Ordered,0.009066
4,Reduction,0.001422
4,Critical,0.065270
4,Ordered,0.008708
4,Reduction,0.001415
4,Critical,0.065383
4,Ordered,0.008856
4,Reduction,0.001416
4,Critical,0.065706
4,Ordered,0.008665
4,Reduction,0.001620
4,Critical,0.065420
4,Ordered,0.008763
